ANNEE,Regions_de_chargement,Regions_de_dechargement,Marchandises,Tkm(en millions),T(en milliers)
2021,Ile-de-France,Pays de la Loire,Coke/produits pétroliers raffinés,0,0
2021,Ile-de-France,Pays de la Loire,Chimie/Caoutchouc/Plastique,29,88
2021,Ile-de-France,Pays de la Loire,Minéraux non métalliques nca,50,150
2021,Ile-de-France,Pays de la Loire,Métaux/produits métalliques,21,73
2021,Ile-de-France,Pays de la Loire,Machines/Matériel nca,12,41
2021,Ile-de-France,Pays de la Loire,Matériel de transport,29,86
2021,Ile-de-France,Pays de la Loire,Meubles/Produits manufacturés nca,14,51
2021,Ile-de-France,Pays de la Loire,Matières premières secondaires/Déchets,0,0
2021,Ile-de-France,Pays de la Loire,Courrier/Colis,62,290
2021,Ile-de-France,Pays de la Loire,Matériel transports marchandises,0,0
2021,Ile-de-France,Pays de la Loire,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Pays de la Loire,Marchandises groupées,183,682
2021,Ile-de-France,Pays de la Loire,Marchandises non identifiables,0,0
2021,Ile-de-France,Bretagne,Agriculture/Chasse/Forêt/Pêche,81,215
2021,Ile-de-France,Bretagne,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Ile-de-France,Bretagne,Minerais/produits extraction,0,0
2021,Ile-de-France,Bretagne,Alimentaires/Boissons/Tabac,78,216
2021,Ile-de-France,Bretagne,Bois/Papier/Edition,0,0
2021,Ile-de-France,Bretagne,Chimie/Caoutchouc/Plastique,0,0
2021,Ile-de-France,Bretagne,Minéraux non métalliques nca,30,81
2021,Ile-de-France,Bretagne,Métaux/produits métalliques,0,0
2021,Ile-de-France,Bretagne,Machines/Matériel nca,34,68
2021,Ile-de-France,Bretagne,Matériel de transport,20,49
2021,Ile-de-France,Bretagne,Meubles/Produits manufacturés nca,0,0
2021,Ile-de-France,Bretagne,Matières premières secondaires/Déchets,0,0
2021,Ile-de-France,Bretagne,Courrier/Colis,25,73
2021,Ile-de-France,Bretagne,Matériel transports marchandises,0,0
2021,Ile-de-France,Bretagne,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Bretagne,Marchandises groupées,242,574
2021,Ile-de-France,Nouvelle-Aquitaine,Agriculture/Chasse/Forêt/Pêche,87,204
2021,Ile-de-France,Nouvelle-Aquitaine,Minerais/produits extraction,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Alimentaires/Boissons/Tabac,76,212
2021,Ile-de-France,Nouvelle-Aquitaine,Bois/Papier/Edition,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Coke/produits pétroliers raffinés,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Chimie/Caoutchouc/Plastique,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Minéraux non métalliques nca,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Métaux/produits métalliques,20,45
2021,Ile-de-France,Nouvelle-Aquitaine,Machines/Matériel nca,11,23
2021,Ile-de-France,Nouvelle-Aquitaine,Matériel de transport,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Matières premières secondaires/Déchets,25,67
2021,Ile-de-France,Nouvelle-Aquitaine,Courrier/Colis,103,279
2021,Ile-de-France,Nouvelle-Aquitaine,Matériel transports marchandises,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Nouvelle-Aquitaine,Marchandises groupées,231,493
2021,Ile-de-France,Nouvelle-Aquitaine,Marchandises non identifiables,0,0
2021,Ile-de-France,Occitanie,Agriculture/Chasse/Forêt/Pêche,67,112
2021,Ile-de-France,Occitanie,Minerais/produits extraction,0,0
2021,Ile-de-France,Occitanie,Alimentaires/Boissons/Tabac,34,67
2021,Ile-de-France,Occitanie,Chimie/Caoutchouc/Plastique,0,0
2021,Ile-de-France,Occitanie,Minéraux non métalliques nca,0,0
2021,Ile-de-France,Occitanie,Métaux/produits métalliques,0,0
2021,Ile-de-France,Occitanie,Machines/Matériel nca,0,0
2021,Ile-de-France,Occitanie,Matériel de transport,33,45
2021,Ile-de-France,Occitanie,Meubles/Produits manufacturés nca,0,0
2021,Ile-de-France,Occitanie,Matières premières secondaires/Déchets,0,0
2021,Ile-de-France,Occitanie,Courrier/Colis,92,147
2021,Ile-de-France,Occitanie,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Occitanie,Marchandises groupées,89,158
2021,Ile-de-France,Auvergne-Rhône-Alpes,Agriculture/Chasse/Forêt/Pêche,71,183
2021,Ile-de-France,Auvergne-Rhône-Alpes,Minerais/produits extraction,34,90
2021,Ile-de-France,Auvergne-Rhône-Alpes,Alimentaires/Boissons/Tabac,88,193
2021,Ile-de-France,Auvergne-Rhône-Alpes,Bois/Papier/Edition,21,56
2021,Ile-de-France,Auvergne-Rhône-Alpes,Coke/produits pétroliers raffinés,0,0
2021,Ile-de-France,Auvergne-Rhône-Alpes,Chimie/Caoutchouc/Plastique,53,115
2021,Ile-de-France,Auvergne-Rhône-Alpes,Minéraux non métalliques nca,84,188
2021,Ile-de-France,Auvergne-Rhône-Alpes,Métaux/produits métalliques,52,116
2021,Ile-de-France,Auvergne-Rhône-Alpes,Machines/Matériel nca,45,86
2021,Ile-de-France,Auvergne-Rhône-Alpes,Matériel de transport,30,68
2021,Ile-de-France,Auvergne-Rhône-Alpes,Meubles/Produits manufacturés nca,25,62
2021,Ile-de-France,Auvergne-Rhône-Alpes,Matières premières secondaires/Déchets,0,0
2021,Ile-de-France,Auvergne-Rhône-Alpes,Courrier/Colis,118,344
2021,Ile-de-France,Auvergne-Rhône-Alpes,Matériel transports marchandises,0,0
2021,Ile-de-France,Auvergne-Rhône-Alpes,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Auvergne-Rhône-Alpes,Marchandises groupées,243,583
2021,Ile-de-France,Auvergne-Rhône-Alpes,Marchandises non identifiables,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Agriculture/Chasse/Forêt/Pêche,77,132
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Alimentaires/Boissons/Tabac,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Bois/Papier/Edition,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Chimie/Caoutchouc/Plastique,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Minéraux non métalliques nca,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Métaux/produits métalliques,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Machines/Matériel nca,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Matériel de transport,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Meubles/Produits manufacturés nca,0,0
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Courrier/Colis,125,223
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Marchandises groupées,87,132
2021,Ile-de-France,Provence-Alpes-Côte d’Azur,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Ile-de-France,Agriculture/Chasse/Forêt/Pêche,90,861
2021,Centre — Val de Loire,Ile-de-France,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Ile-de-France,Minerais/produits extraction,181,1912
2021,Centre — Val de Loire,Ile-de-France,Alimentaires/Boissons/Tabac,104,686
2021,Centre — Val de Loire,Ile-de-France,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Ile-de-France,Bois/Papier/Edition,22,198
2021,Centre — Val de Loire,Ile-de-France,Chimie/Caoutchouc/Plastique,38,324
2021,Centre — Val de Loire,Ile-de-France,Minéraux non métalliques nca,87,830
2021,Centre — Val de Loire,Ile-de-France,Métaux/produits métalliques,14,92
2021,Centre — Val de Loire,Ile-de-France,Machines/Matériel nca,17,227
2021,Centre — Val de Loire,Ile-de-France,Matériel de transport,15,128
2021,Centre — Val de Loire,Ile-de-France,Meubles/Produits manufacturés nca,4,29
2021,Centre — Val de Loire,Ile-de-France,Matières premières secondaires/Déchets,27,172
2021,Centre — Val de Loire,Ile-de-France,Courrier/Colis,132,657
2021,Centre — Val de Loire,Ile-de-France,Matériel transports marchandises,4,29
2021,Centre — Val de Loire,Ile-de-France,Déménagements/Véhicules réparations,16,146
2021,Centre — Val de Loire,Ile-de-France,Marchandises groupées,206,1500
2021,Centre — Val de Loire,Ile-de-France,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Centre — Val de Loire,Agriculture/Chasse/Forêt/Pêche,330,5991
2021,Centre — Val de Loire,Centre — Val de Loire,Houille/Lignite/Pétrole brut/Gaz,13,153
2021,Centre — Val de Loire,Centre — Val de Loire,Minerais/produits extraction,351,10225
2021,Centre — Val de Loire,Centre — Val de Loire,Alimentaires/Boissons/Tabac,270,2245
2021,Centre — Val de Loire,Centre — Val de Loire,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Centre — Val de Loire,Bois/Papier/Edition,59,617
2021,Centre — Val de Loire,Centre — Val de Loire,Coke/produits pétroliers raffinés,116,1773
2021,Centre — Val de Loire,Centre — Val de Loire,Chimie/Caoutchouc/Plastique,76,890
2021,Centre — Val de Loire,Centre — Val de Loire,Minéraux non métalliques nca,284,7852
2021,Centre — Val de Loire,Centre — Val de Loire,Métaux/produits métalliques,55,858
2021,Centre — Val de Loire,Centre — Val de Loire,Machines/Matériel nca,124,2102
2021,Centre — Val de Loire,Centre — Val de Loire,Matériel de transport,10,143
2021,Centre — Val de Loire,Centre — Val de Loire,Meubles/Produits manufacturés nca,12,180
2021,Centre — Val de Loire,Centre — Val de Loire,Matières premières secondaires/Déchets,107,1745
2021,Centre — Val de Loire,Centre — Val de Loire,Courrier/Colis,178,1456
2021,Centre — Val de Loire,Centre — Val de Loire,Matériel transports marchandises,7,119
2021,Centre — Val de Loire,Centre — Val de Loire,Déménagements/Véhicules réparations,66,1173
2021,Centre — Val de Loire,Centre — Val de Loire,Marchandises groupées,564,5492
2021,Centre — Val de Loire,Centre — Val de Loire,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Agriculture/Chasse/Forêt/Pêche,60,407
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Minerais/produits extraction,13,147
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Alimentaires/Boissons/Tabac,47,626
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Bois/Papier/Edition,17,54
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Coke/produits pétroliers raffinés,15,110
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Chimie/Caoutchouc/Plastique,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Minéraux non métalliques nca,26,207
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Métaux/produits métalliques,16,146
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Machines/Matériel nca,16,108
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Matériel de transport,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Meubles/Produits manufacturés nca,3,19
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Matières premières secondaires/Déchets,16,56
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Courrier/Colis,24,110
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Matériel transports marchandises,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Déménagements/Véhicules réparations,0,0
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Marchandises groupées,113,463
2021,Centre — Val de Loire,Bourgogne-Franche-Comté,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Normandie,Agriculture/Chasse/Forêt/Pêche,158,1070
2021,Centre — Val de Loire,Normandie,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Normandie,Minerais/produits extraction,0,0
2021,Centre — Val de Loire,Normandie,Alimentaires/Boissons/Tabac,44,232
2021,Centre — Val de Loire,Normandie,Bois/Papier/Edition,16,69
2021,Centre — Val de Loire,Normandie,Coke/produits pétroliers raffinés,0,0
2021,Centre — Val de Loire,Normandie,Chimie/Caoutchouc/Plastique,28,144
2021,Centre — Val de Loire,Normandie,Minéraux non métalliques nca,31,161
2021,Centre — Val de Loire,Normandie,Métaux/produits métalliques,6,34
2021,Centre — Val de Loire,Normandie,Machines/Matériel nca,11,50
2021,Centre — Val de Loire,Normandie,Matériel de transport,11,40
2021,Centre — Val de Loire,Normandie,Meubles/Produits manufacturés nca,0,0
2021,Centre — Val de Loire,Normandie,Matières premières secondaires/Déchets,0,0
2021,Centre — Val de Loire,Normandie,Courrier/Colis,14,60
2021,Centre — Val de Loire,Normandie,Matériel transports marchandises,3,16
2021,Centre — Val de Loire,Normandie,Déménagements/Véhicules réparations,0,0
2021,Centre — Val de Loire,Normandie,Marchandises groupées,153,681
2021,Centre — Val de Loire,Normandie,Marchandises non identifiables,19,68
2021,Centre — Val de Loire,Hauts-de-France,Agriculture/Chasse/Forêt/Pêche,108,326
2021,Centre — Val de Loire,Hauts-de-France,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Hauts-de-France,Minerais/produits extraction,0,0
2021,Centre — Val de Loire,Hauts-de-France,Alimentaires/Boissons/Tabac,74,238
2021,Centre — Val de Loire,Hauts-de-France,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Hauts-de-France,Bois/Papier/Edition,31,85
2021,Centre — Val de Loire,Hauts-de-France,Chimie/Caoutchouc/Plastique,34,115
2021,Centre — Val de Loire,Hauts-de-France,Minéraux non métalliques nca,25,86
2021,Centre — Val de Loire,Hauts-de-France,Métaux/produits métalliques,0,0
2021,Centre — Val de Loire,Hauts-de-France,Machines/Matériel nca,5,21
2021,Centre — Val de Loire,Hauts-de-France,Matériel de transport,25,89
2021,Centre — Val de Loire,Hauts-de-France,Meubles/Produits manufacturés nca,0,0
2021,Centre — Val de Loire,Hauts-de-France,Matières premières secondaires/Déchets,0,0
2021,Centre — Val de Loire,Hauts-de-France,Courrier/Colis,32,106
2021,Centre — Val de Loire,Hauts-de-France,Matériel transports marchandises,0,0
2021,Centre — Val de Loire,Hauts-de-France,Déménagements/Véhicules réparations,0,0
2021,Centre — Val de Loire,Hauts-de-France,Marchandises groupées,179,651
2021,Centre — Val de Loire,Grand Est,Agriculture/Chasse/Forêt/Pêche,116,480
2021,Centre — Val de Loire,Grand Est,Minerais/produits extraction,0,0
2021,Centre — Val de Loire,Grand Est,Alimentaires/Boissons/Tabac,88,400
2021,Centre — Val de Loire,Grand Est,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Grand Est,Bois/Papier/Edition,0,0
2021,Centre — Val de Loire,Grand Est,Chimie/Caoutchouc/Plastique,24,95
2021,Centre — Val de Loire,Grand Est,Minéraux non métalliques nca,21,59
2021,Centre — Val de Loire,Grand Est,Métaux/produits métalliques,0,0
2021,Centre — Val de Loire,Grand Est,Machines/Matériel nca,18,51
2021,Centre — Val de Loire,Grand Est,Matériel de transport,0,0
2021,Centre — Val de Loire,Grand Est,Meubles/Produits manufacturés nca,0,0
2021,Centre — Val de Loire,Grand Est,Matières premières secondaires/Déchets,0,0
2021,Centre — Val de Loire,Grand Est,Courrier/Colis,24,90
2021,Centre — Val de Loire,Grand Est,Matériel transports marchandises,0,0
2021,Centre — Val de Loire,Grand Est,Marchandises groupées,123,369
2021,Centre — Val de Loire,Pays de la Loire,Agriculture/Chasse/Forêt/Pêche,202,1081
2021,Centre — Val de Loire,Pays de la Loire,Minerais/produits extraction,23,177
2021,Centre — Val de Loire,Pays de la Loire,Alimentaires/Boissons/Tabac,97,618
2021,Centre — Val de Loire,Pays de la Loire,Textiles/Cuir,0,0
2021,Centre — Val de Loire,Pays de la Loire,Bois/Papier/Edition,22,104
2021,Centre — Val de Loire,Pays de la Loire,Coke/produits pétroliers raffinés,22,164
2021,Centre — Val de Loire,Pays de la Loire,Chimie/Caoutchouc/Plastique,19,113
2021,Centre — Val de Loire,Pays de la Loire,Minéraux non métalliques nca,36,267
2021,Centre — Val de Loire,Pays de la Loire,Métaux/produits métalliques,12,42
2021,Centre — Val de Loire,Pays de la Loire,Machines/Matériel nca,22,122
2021,Centre — Val de Loire,Pays de la Loire,Matériel de transport,6,34
2021,Centre — Val de Loire,Pays de la Loire,Meubles/Produits manufacturés nca,10,47
2021,Centre — Val de Loire,Pays de la Loire,Matières premières secondaires/Déchets,35,214
2021,Centre — Val de Loire,Pays de la Loire,Courrier/Colis,29,111
2021,Centre — Val de Loire,Pays de la Loire,Matériel transports marchandises,6,42
2021,Centre — Val de Loire,Pays de la Loire,Déménagements/Véhicules réparations,0,0
2021,Centre — Val de Loire,Pays de la Loire,Marchandises groupées,170,809
2021,Centre — Val de Loire,Pays de la Loire,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Bretagne,Agriculture/Chasse/Forêt/Pêche,142,449
2021,Centre — Val de Loire,Bretagne,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Bretagne,Minerais/produits extraction,0,0
2021,Centre — Val de Loire,Bretagne,Alimentaires/Boissons/Tabac,72,210
2021,Centre — Val de Loire,Bretagne,Bois/Papier/Edition,0,0
2021,Centre — Val de Loire,Bretagne,Chimie/Caoutchouc/Plastique,0,0
2021,Centre — Val de Loire,Bretagne,Minéraux non métalliques nca,20,68
2021,Centre — Val de Loire,Bretagne,Métaux/produits métalliques,0,0
2021,Centre — Val de Loire,Bretagne,Machines/Matériel nca,0,0
2021,Centre — Val de Loire,Bretagne,Matériel de transport,0,0
2021,Centre — Val de Loire,Bretagne,Meubles/Produits manufacturés nca,0,0
2021,Centre — Val de Loire,Bretagne,Matières premières secondaires/Déchets,0,0
2021,Centre — Val de Loire,Bretagne,Courrier/Colis,9,43
2021,Centre — Val de Loire,Bretagne,Matériel transports marchandises,0,0
2021,Centre — Val de Loire,Bretagne,Déménagements/Véhicules réparations,0,0
2021,Centre — Val de Loire,Bretagne,Marchandises groupées,124,383
2021,Centre — Val de Loire,Bretagne,Marchandises non identifiables,0,0
2021,Centre — Val de Loire,Nouvelle-Aquitaine,Agriculture/Chasse/Forêt/Pêche,328,1684
2021,Centre — Val de Loire,Nouvelle-Aquitaine,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Centre — Val de Loire,Nouvelle-Aquitaine,Minerais/produits extraction,0,0
2021,Centre — Val de Loire,Nouvelle-Aquitaine,Alimentaires/Boissons/Tabac,164,674
